Has_QSpecs,Weight,InspectionDate
FALSE,10.66,2/16/2012
FALSE,0.1,4/25/2012
FALSE,26,11/28/2012
FALSE,0,5/6/2012
FALSE,0.4,3/23/2012
FALSE,1.56,6/17/2012
FALSE,2.23,2/15/2012
FALSE,0.1,10/15/2012
FALSE,0.16,9/20/2012
FALSE,450,3/17/2012
FALSE,0.2,7/6/2012
FALSE,0.28,6/15/2012
FALSE,0.2,3/25/2012
FALSE,300,7/22/2012
FALSE,18,12/10/2012
FALSE,0.2,3/27/2012
FALSE,0.01,1/11/2012
FALSE,0.78,8/15/2012
FALSE,1,7/22/2012
TRUE,1.35,6/27/2012
FALSE,4.5,9/20/2012
FALSE,1,10/20/2012
FALSE,1,11/10/2012
FALSE,0.01,5/8/2012
FALSE,0.93,11/8/2012
FALSE,0.3,8/20/2012
FALSE,1.2,8/3/2012
FALSE,14.6,3/13/2012
FALSE,0.1,7/11/2012
FALSE,0.1,6/16/2012
FALSE,1,2/14/2012
FALSE,0.1,8/20/2012
FALSE,0.5,6/27/2012
FALSE,2000,3/23/2012
FALSE,0.05,10/17/2012
FALSE,0.1,6/22/2012
FALSE,0.89,9/15/2012
TRUE,11,10/18/2012
FALSE,0.5,4/10/2012
FALSE,2.23,3/3/2012
FALSE,0.4,11/26/2012
FALSE,1,12/16/2012
FALSE,0.1,10/16/2012
FALSE,0.22,2/10/2012
FALSE,0.06,10/14/2012
FALSE,0.6,7/14/2012
FALSE,64,8/3/2012
FALSE,0.79,5/11/2012
FALSE,0.6,8/10/2012
FALSE,0.1,3/27/2012
FALSE,0.2,9/5/2012
TRUE,0.1,1/7/2012
FALSE,21,1/8/2012
FALSE,0.1,2/5/2012
FALSE,0.06,5/27/2012
FALSE,0.1,3/25/2012
FALSE,0.7,7/17/2012
FALSE,0.15,3/25/2012
FALSE,0.1,10/22/2012
TRUE,0.03,12/5/2012
FALSE,0.1,12/15/2012
FALSE,7.7,8/20/2012
FALSE,42.8,8/1/2012
FALSE,0.1,5/7/2012
FALSE,0.1,3/8/2012
TRUE,0.18,11/20/2012
FALSE,0.1,12/24/2012
FALSE,38,10/3/2012
FALSE,0.1,8/1/2012
FALSE,0.5,10/13/2012
FALSE,0.3,11/4/2012
TRUE,0.2,4/6/2012
FALSE,680,3/25/2012
FALSE,0.3,10/13/2012
FALSE,0.1,4/24/2012
FALSE,0.5,10/14/2012
FALSE,0.5,9/3/2012
FALSE,7,2/3/2012
FALSE,0.003,3/27/2012
FALSE,1,10/21/2012
FALSE,20.1,5/21/2012
FALSE,0.79,4/13/2012
FALSE,0.1,1/28/2012
FALSE,0.1,7/8/2012
FALSE,3.9,1/3/2012
FALSE,0.34,12/2/2012
FALSE,0.5,6/16/2012
FALSE,1,9/14/2012
FALSE,0.3,9/24/2012
FALSE,0.5,5/7/2012
FALSE,0.01,6/16/2012
FALSE,0.1,8/25/2012
FALSE,0.22,12/7/2012
FALSE,0.3,6/11/2012
FALSE,0.5,1/26/2012
FALSE,0.2,12/26/2012
FALSE,0.1,3/16/2012
FALSE,2.5,12/14/2012
FALSE,0.05,9/10/2012
FALSE,0.01,10/13/2012
FALSE,0.6,1/21/2012
FALSE,1.3,5/14/2012
FALSE,2.12,6/14/2012
FALSE,0.1,10/19/2012
FALSE,0.06,6/10/2012
FALSE,0.22,12/11/2012
FALSE,0.01,11/16/2012
FALSE,0.01,11/4/2012
FALSE,592,5/5/2012
FALSE,0.1,12/19/2012
TRUE,0.2,2/27/2012
FALSE,0.01,1/16/2012
FALSE,0.1,5/7/2012
FALSE,0.22,10/5/2012
FALSE,4.4,1/11/2012
FALSE,107,11/14/2012
FALSE,0.1,5/18/2012
FALSE,0.01,4/14/2012
TRUE,0.1,10/20/2012
FALSE,0.2,9/27/2012
FALSE,116,8/18/2012
FALSE,0.3,7/16/2012
FALSE,0.7,8/16/2012
FALSE,8,6/5/2012
FALSE,0.1,11/26/2012
FALSE,4.25,2/28/2012
FALSE,0.07,4/19/2012
FALSE,0.5,9/10/2012
FALSE,1.5,7/14/2012
FALSE,0.5,11/20/2012
FALSE,1,8/14/2012
FALSE,24,4/7/2012
FALSE,0.1,12/3/2012
FALSE,1,5/18/2012
FALSE,0.1,1/3/2012
FALSE,0.01,10/13/2012
FALSE,1.2,10/18/2012
FALSE,0.05,9/26/2012
FALSE,0.12,3/1/2012
FALSE,0.1,5/11/2012
FALSE,2,10/17/2012
FALSE,0.36,6/5/2012
TRUE,0.04,5/14/2012
FALSE,41,8/2/2012
FALSE,0.1,12/17/2012
FALSE,3.68,2/6/2012
FALSE,0.1,4/17/2012
FALSE,0.02,3/9/2012
FALSE,0.1,3/8/2012
FALSE,5.4,7/5/2012
FALSE,10.26,9/21/2012
FALSE,0.22,11/24/2012
FALSE,0,11/17/2012
FALSE,4.5,6/12/2012
FALSE,0.5,12/22/2012
TRUE,0.4,8/25/2012
FALSE,25,5/8/2012
TRUE,0.07,10/16/2012
FALSE,0.2,8/20/2012
FALSE,0.09,11/12/2012
FALSE,0.01,12/3/2012
FALSE,0.07,7/17/2012
FALSE,0.04,4/20/2012
FALSE,0.1,3/24/2012
FALSE,0.58,4/9/2012
FALSE,14,8/8/2012
FALSE,0.4,9/19/2012
FALSE,57,4/9/2012
FALSE,0.5,4/16/2012
FALSE,1.62,1/2/2012
FALSE,0.1,1/14/2012
FALSE,0.1,5/10/2012
FALSE,0.01,5/18/2012
FALSE,0.1,8/4/2012
TRUE,3,1/6/2012
FALSE,67,5/14/2012
FALSE,0.1,10/21/2012
FALSE,1.6,2/12/2012
FALSE,0.43,7/2/2012
FALSE,8.4,8/28/2012
FALSE,0.4,2/2/2012
FALSE,0.03,8/2/2012
TRUE,0.5,1/17/2012
FALSE,0.43,4/19/2012
FALSE,0.1,2/4/2012
FALSE,21,7/20/2012
FALSE,0.1,5/26/2012
FALSE,0.2,10/24/2012
FALSE,0.6,8/28/2012
FALSE,0.4,7/25/2012
FALSE,0.03,1/7/2012
FALSE,0,12/9/2012
FALSE,0.2,4/15/2012
FALSE,0,4/16/2012
FALSE,4.7,3/14/2012
FALSE,0.05,10/2/2012
FALSE,1.43,1/13/2012
FALSE,0.1,6/6/2012
FALSE,67,8/12/2012
FALSE,0.1,12/23/2012
FALSE,2,5/21/2012
FALSE,0.1,12/10/2012
FALSE,0.2,8/2/2012
FALSE,2,3/23/2012
TRUE,0.6,6/27/2012
FALSE,3,12/28/2012
FALSE,4,4/3/2012
